0	0	1	2014	2015
2	1	3	1925	1925
4	1	5	####	1900
6	1	7	1930	1930
8	0	9	2003	2004
10	0	11	1977	1977
12	2	13	####	2011
14	1	15	1970	1970
16	0	17	2014	####
18	3	19	####	2013
20	2	21	2009	2009
22	0	23	1998	1999
24	0	25	2013	2013
26	0	27	2010	2012
28	2	29	2014	2014
30	0	31	2004	2008
32	2	33	2012	2012
34	0	35	2006	2007
36	2	37	2014	2014
38	0	39	1964	1972
40	0	41	1970	1970
42	2	43	2013	2013
44	2	45	2015	2015
46	2	47	2005	2005
48	1	49	2001	2001
50	4	51	1992	1992
52	1	53	2012	####
54	0	55	2008	2008
56	0	57	1998	2003
58	2	59	2014	2014
60	1	61	2010	2010
62	5	63	2017	2017
64	2	65	2015	2015
66	1	67	1910	1910
68	4	69	1904	1904
70	2	71	2010	2010
36	2	72	2013	2013
73	1	74	2008	2008
75	2	76	2006	2015
77	0	78	2005	2005
79	2	80	2014	2013
81	0	82	2002	2006
83	2	84	2006	2008
85	1	86	1921	1921
87	2	88	2012	2012
89	1	90	2002	2002
91	0	92	1992	1993
93	5	94	2014	2014
95	0	96	1999	2000
97	0	98	2004	2007
99	2	100	2009	2009
101	2	102	2010	####
103	1	104	1980	####
105	1	106	1930	1900
107	2	108	2014	2014
109	1	110	2002	2002
111	6	112	2003	1995
113	0	114	2009	2010
115	0	116	2011	2012
117	2	118	2012	2012
119	6	120	1947	1953
121	0	122	2012	2012
123	2	124	2016	2016
125	1	126	2004	2004
127	6	128	1984	1984
129	1	130	2013	2005
131	4	132	2010	2010
133	2	134	2006	2006
135	0	136	2009	2015
137	0	138	1987	2005
139	0	140	2001	1999
141	0	114	1993	2000
142	1	143	2008	2008
144	2	145	2013	2015
146	1	147	2010	2013
148	2	134	2002	2002
14	1	149	1976	1976
150	1	151	####	1930
152	2	153	2006	2014
62	5	154	2016	2016
155	7	156	1869	1865
111	4	157	2007	1986
133	2	158	2007	2007
159	2	160	2015	2012
161	1	162	2009	2008
